time, voltage,x
0.030674219,1.748717949,0.027
0.030675173,1.662271062,0.027
0.030675888,1.490842491,0.027
0.030676603,1.343589744,0.027
0.030677319,1.265934066,0.027
0.031887293,1.235897436,0.027
0.031889439,1.275457875,0.027
0.031890154,1.382417582,0.027
0.031890869,1.514285714,0.027
0.031891346,1.663736264,0.027
0.0318923,1.75018315,0.027
0.033042192,1.758974359,0.027
0.033043623,1.697435897,0.027
0.033044815,1.646886447,0.027
0.033046007,1.452747253,0.027
0.033046722,1.332600733,0.027
0.033047438,1.243956044,0.027
0.034254074,1.222710623,0.027
0.034255743,1.298168498,0.027
0.034256935,1.449084249,0.027
0.034257412,1.575824176,0.027
0.034258127,1.688644689,0.027
0.034258842,1.746520147,0.027
0.035459757,1.753846154,0.027
0.035461664,1.660805861,0.027
0.035462379,1.532600733,0.027
0.035462856,1.387545788,0.027
0.035463572,1.274725275,0.027
0.035464287,1.231501832,0.027
0.035465002,1.295970696,0.027
0.035465717,1.358241758,0.027
0.035466433,1.4996337,0.027
0.035467148,1.63956044,0.027
0.035468102,1.736996337,0.027
0.036654234,1.767765568,0.027
0.036656141,1.704761905,0.027
0.036656857,1.593406593,0.027
0.036657572,1.471794872,0.027
0.036658049,1.328937729,0.027
0.036658525,1.248351648,0.027
0.037846565,1.224908425,0.027
0.037847996,1.297435897,0.027
0.037848711,1.396336996,0.027
0.037849188,1.577289377,0.027
0.037849665,1.695238095,0.027
0.03785038,1.771428571,0.027
0.039023638,1.694505495,0.027
0.039025068,1.663736264,0.027
0.039025784,1.557509158,0.027
0.03902626,1.408058608,0.027
0.039027214,1.278388278,0.027
0.040224791,1.214652015,0.027
0.04022646,1.254945055,0.027
0.040227413,1.347985348,0.027
0.040228128,1.481318681,0.027
0.040228844,1.593406593,0.027
0.040229321,1.704761905,0.027
0.040278912,1.757509158,0.027
0.040280104,1.738461538,0.027
0.040280581,1.633699634,0.027
0.040286303,1.462271062,0.027
0.040287256,1.340659341,0.027
0.040287733,1.255677656,0.027
0.041457415,1.219047619,0.027
0.041459084,1.27032967,0.027
0.04145956,1.389010989,0.027
0.041460037,1.531135531,0.027
0.041460752,1.684249084,0.027
0.041461468,1.757509158,0.027
0.04265213,1.78021978,0.027
0.042653561,1.686446886,0.027
0.042654037,1.563369963,0.027
0.042654991,1.41978022,0.027
0.042655468,1.283516484,0.027
0.042655945,1.223443223,0.027
0.043833494,1.216117216,0.027
0.043835163,1.298168498,0.027
0.043835878,1.457875458,0.027
0.043836117,1.599267399,0.027
0.043836832,1.719413919,0.027
0.044993639,1.728937729,0.027
0.04499507,1.6996337,0.027
0.044995785,1.673992674,0.027
0.044996262,1.515018315,0.027
0.044996738,1.38021978,0.027
0.044997454,1.24981685,0.027
0.046126604,1.232967033,0.027
0.046128035,1.307692308,0.027
0.046128511,1.380952381,0.027
0.046129227,1.49010989,0.027
0.046129942,1.645421245,0.027
0.046130419,1.746520147,0.027
0.047260761,1.764835165,0.027
0.04726243,1.715750916,0.027
0.047263145,1.592673993,0.027
0.047263622,1.404395604,0.027
0.047264099,1.352380952,0.027
0.047265053,1.243223443,0.027
0.04726553,1.252747253,0.027
0.047266245,1.316483516,0.027
0.047266722,1.447619048,0.027
0.047267199,1.575091575,0.027
0.047267675,1.710622711,0.027
0.047268391,1.764102564,0.027
0.048453808,1.766300366,0.027
0.048455238,1.66959707,0.027
0.048456192,1.527472527,0.027
0.048456669,1.397802198,0.027
0.048457146,1.287179487,0.027
0.048457623,1.249084249,0.027
0.049613476,1.255677656,0.027
0.049615145,1.364835165,0.027
0.04961586,1.477655678,0.027
0.049616337,1.631501832,0.027
0.049616814,1.706959707,0.027
0.05076313,1.750915751,0.027
0.050764799,1.698168498,0.027
0.050765276,1.614652015,0.027
0.050765753,1.462271062,0.027
0.05076623,1.317948718,0.027
0.050766706,1.23956044,0.027
0.051911354,1.217582418,0.027
0.051912785,1.267399267,0.027
0.0519135,1.435164835,0.027
0.051913977,1.567032967,0.027
0.051919222,1.689377289,0.027
0.051919937,1.751648352,0.027
0.054361343,1.750915751,0.027
0.054364204,1.671794872,0.027
0.054365635,1.55018315,0.027
0.054366827,1.38974359,0.027
0.054368734,1.268864469,0.027
0.054369926,1.214652015,0.027
0.054485083,1.243956044,0.027
0.054486752,1.335531136,0.027
0.054487705,1.468131868,0.027
0.054488659,1.58974359,0.027
0.054489851,1.710622711,0.027
0.054490805,1.748717949,0.027
0.054491758,1.745054945,0.027
0.054492712,1.633699634,0.027
0.054493666,1.478388278,0.027
0.054494381,1.334798535,0.027
0.054495573,1.249084249,0.027
0.056520224,1.225641026,0.027
0.056523085,1.263003663,0.027
0.056524515,1.396336996,0.027
0.056525469,1.538461538,0.027
0.056526184,1.683516484,0.027
0.056527376,1.764835165,0.027
0.056528091,1.78021978,0.027
0.056528807,1.689377289,0.027
0.056529522,1.575091575,0.027
0.056530952,1.419047619,0.027
0.056531906,1.290842491,0.027
0.056532621,1.230769231,0.027
0.058018923,1.216117216,0.027
0.058020592,1.323076923,0.027
0.058021307,1.463003663,0.027
0.058022022,1.606593407,0.027
0.058022499,1.715018315,0.027
0.059178352,1.786813187,0.027
0.05918169,1.758974359,0.027
0.059183598,1.655677656,0.027
0.059185028,1.514285714,0.027
0.059186697,1.367765568,0.027
0.059187889,1.262271062,0.027
0.059253454,1.233699634,0.027
0.059254169,1.264468864,0.027
0.059254646,1.304029304,0.027
0.059262753,1.4996337,0.027
0.059263468,1.666666667,0.027
0.059263945,1.753113553,0.027
0.060403824,1.777289377,0.027
0.060405493,1.716483516,0.027
0.06040597,1.56043956,0.027
0.060406685,1.422710623,0.027
0.060407162,1.323076923,0.027
0.060407639,1.23956044,0.027
0.061566591,1.229304029,0.027
0.061568499,1.321611722,0.027
0.061569214,1.41978022,0.027
0.061570168,1.585347985,0.027
0.06157732,1.6996337,0.027
0.061578274,1.753846154,0.027
0.062767506,1.75018315,0.027
0.062769413,1.672527473,0.027
0.06276989,1.533333333,0.027
0.062770605,1.396336996,0.027
0.062771082,1.245421245,0.027
0.063977242,1.205128205,0.027
0.06397891,1.235164835,0.027
0.063979387,1.331868132,0.027
0.063980103,1.498901099,0.027
0.063980818,1.621245421,0.027
0.063981295,1.698168498,0.027
0.065170527,1.767032967,0.027
0.065172195,1.718681319,0.027
0.065172672,1.606593407,0.027
0.065173388,1.458608059,0.027
0.065173864,1.301831502,0.027
0.065174818,1.243223443,0.027
0.066347122,1.227838828,0.027
0.066348791,1.301098901,0.027
0.066349268,1.405860806,0.027
0.066349983,1.549450549,0.027
0.06635046,1.69010989,0.027
0.066350937,1.756043956,0.027
0.066400528,1.747985348,0.027
0.066401243,1.710622711,0.027
0.06640172,1.536996337,0.027
0.066402435,1.410989011,0.027
0.066402912,1.29010989,0.027
0.066403627,1.232234432,0.027
